name,text,rt,id
prabowo,"ehemmm, jgn kan prabowo ajan dia khianati, ,sejarah bangsa aja diperkosa sm dia tuh https://t.co/YchF5LLAQv https://t.co/2MTtHTRGJr",15,1547065379087757312
prabowo,"We asked the Scholars which project we should giveaway and the @GamingApeClub absolutely dominated 👀🤯

Giving away… https://t.co/f7rzLTYyxA",32,1552453123087671302
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,@Dahnilanzar @prabowo Tetep fokus pak anis di 2024,0,1552234605419237376
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,@WellermenNFT @JohnnyDeppNFT @capbartholomew @CaptJamesETH @capt_davy @CaptainOneleg @Burpss88 @GregoriusGerar7 @OP_1579,0,1552234605419237376
prabowo,"A toast to our collab with @JohnnyDeppNFT and hereby present Ye Captain Jack Sparrow 🏴‍☠️
He be givin' away:

~ 1 W… https://t.co/FBfujIfORm",406,1552184201658654720
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,Yth bapak Presiden republik Indonesia Ir Haji JokowiDodo @jokowi dan Yth bapak kepala kepolisian negara republik In… https://t.co/kBh5ce6rYJ,39,1552234605419237376
prabowo,"@fadhilChaniagoo @mohmahfudmd Pilpres 2019
- CEBONG julukan pendukung jokowi
- KAMPRET julukan pendukung Prabowo
-… https://t.co/7v3F8017qH",1,1552264259299487744
prabowo,@8sianNFT @sad_girls_bar @EricEdiputra @mrfernando88,0,1552264259299487744
prabowo,"✨8SIAN x Sad Girls Bar✨

We've collaborated with our HUG frens @sad_girls_bar and are giving away these charming Sa… https://t.co/bdxT3uOIa9",94,1552368228998971397
prabowo,@pxddy @Reilly_Prabowo @SpaceRiders_NFT @csmithSEC @wdzy_official @GraceNiMhaille,0,1552368228998971397
prabowo,Kapolri Jenderal Pol. Listyo Sigit Prabowo meminta dukungan seluruh masyarakat untuk ikut mengawasi proses pengungk… https://t.co/ui4IjMdUto,3,1552256940851752960
prabowo,@GoingToZero_NFT @wagmiarmynft @mrfernando88 @Burpss88 @EricEdiputra,0,1552256940851752960
prabowo,"WE HAVE PARTNERED UP WITH @wagmiarmynft TOGETHER WE WILL BE UNSTOPPABLE! 
TO GIVEAWAY x2 TROOPS
FOLLOW -… https://t.co/aept21AXlp",921,1552385725156298752
prabowo,@SabianNFT https://t.co/IHoE6vn1oU,0,1552385725156298752
prabowo,"$1,200 #ETH ✨

Like, RT &amp; Follow Me @SabianNFT 
Show proof of notifications 

Winner announced in 24 hours.",728,1552420087726018560
prabowo,@pxddy @SpaceRiders_NFT @Burpss88 @almostcliff @yanbudyo,0,1552420087726018560
prabowo,"Giveaway time! 

To win this @SpaceRiders_NFT :

→ Follow @pxddy &amp; @SpaceRiders_NFT 
→ Like + RT 
→ Tag a friend

U… https://t.co/DKRHG2NIri",416,1552405663132835840
prabowo,@sad_girls_bar @Reilly_Prabowo @8sianNFT Oh my gah!!! FINALLY someone is doing an AMAZING giveaway. Thank you for t… https://t.co/8fuxGAE1bY,0,1552405663132835840
prabowo,@ArizaPatria Pak @prabowo .ini anak buah Bpk,0,1552405663132835840
prabowo,"Mahrus Ali Pimpin PAC Partai Gerindra Brondong

___

@prabowo PRESIDEN
@Gerindra MENANG

#gerindra #prabowo… https://t.co/csQbDTMLLk",0,1552405663132835840
prabowo,@sad_girls_bar @8sianNFT @Burpss88 @EricEdiputra,0,1552405663132835840
prabowo,"✨GIVEAWAY!✨  

You can win Sad Girl #6167 and 8sian #8371

🖤Like &amp; RT
🖤Follow @sad_girls_bar &amp; @8sianNFT 
🖤Tag 2 fr… https://t.co/n3mYwk2BhR",178,1552368222837608448
prabowo,@Crypto_P0ny @memeland @Burpss88 @GregoriusGerar7 @OP_1579,0,1552368222837608448
puan,"Puji Puan Maharani, Megawati sebut perempuan bisa memimpin. https://t.co/7K4XeiL71h Waktunya Puan Maharani",0,1552368222837608448
puan,"keren nih Bu Puan sebagai ketua DPR 👏
Waktunya Puan Maharani https://t.co/cNGb2N6k6r",0,1552368222837608448
puan,Mandat politik dinilai sebagai pesan Mega ke Puan untuk persiapan maju capres. https://t.co/ZzsTaoXiKb Waktunya Puan Maharani,0,1552368222837608448
puan,"Kualitas kepemimpinan Puan Maharani hasil pengkaderan, Puan dinilai memenuhi kriteria seorang pemimpin karena ditem… https://t.co/KRuTHdDY8Z",0,1552368222837608448
puan,"Alahai, kata kat orang dia pun dua kali lima. Siti dengan sayidati tu gelaran hormat yang sama: puan. Untuk lelaki,… https://t.co/yNejL3a8jK",200,1552268285047017472
puan,Ada pesan khusus dari Mega ke Puan untuk datang ke parpol lain dan mempersiapkan  diri untuk Pilpres 2024.… https://t.co/GgecPTO5Fk,0,1552268285047017472
puan,Mandat Megawati ke Puan Maharani dinilai pesan mempersiapkan diri di Pilpres. https://t.co/Dvc3uU9cYP Waktunya Puan Maharani,0,1552268285047017472
puan,Megawati memuji Puan Maharani karena mampu menjadi pemimpin IPU di Bali beberapa waktu lalu. https://t.co/7EfiFjmsfp Waktunya Puan Maharani,0,1552268285047017472
